Leia	129	98	85	38	24	18	12	-	-
Leija	10								
Leila	15	21	16	13	-	14	15	-	10
Lejla	22	23	20	19	19	16	11	14	17
Lena	13	13	-	15	-	11	-	14	-
Leona	30	31	19	13	18	11	-	-	-
Leonora	15	12	10	12	-	-	-	10	-
Leya	11	-	-	-	-	-	-	-	-
Li	12	20	16	10	-	11	-	-	-
Lia	15	29	26	17	18	12	-	-	-
Lilja 	23	-	17	-	-	-	-	-	-
Lilian	-	-	-	13	12	-	-	12	-
Lilly	90	57	35	26	15	15	11	-	14
Lily 	26	19	-	-	-	-	-	-	-
Lina	212	270	246	260	275	259	280	270	309
Linda	44	49	66	68	96	102	111	156	199
Line	35	33	29	36	27	23	20	12	15
Linn	322	314	408	408	408	388	494	353	368
Linnea	428	423	415	428	438	411	446	424	450
Linnéa	414	446	476	476	493	420	532	523	477
Lisa	298	332	333	344	375	375	387	369	374
Lisen	21	30	16	17	10	16	-	-	-
Liv	115	150	134	107	93	58	53	52	26
Livia	69	58	59	37	26	20	13	-	-
Liza	16	13	13	22	10	17	17	11	-
Lizette	-	-	-	-	10	-	10	16	16
Lo 	15	18	16	-	-	-	-	-	-
Lorin	16	-	11	12	-	-	-	-	-
Lotta	16	13	-	11	13	-	10	18	19
Louisa	11	17	16	-	-	11	14	-	-
Louise	111	133	159	162	169	208	219	266	305
Lova	250	258	276	256	119	71	49	39	42
Lowa	34	26	33	18	-	-	-	-	-
Lovis	39	29	26	25	16	17	-	11	-
Lovisa	429	402	454	474	454	396	387	391	425
Lucia	14	12	16	-	-	-	-	-	-
Luna	25	29	14	14	12	-	-	-	-
Louisa	-	-	-	-	-	-	-	-	13
Lydia	52	34	36	43	36	46	51	54	45
Lykke 	14	14	-	-	-	-	-	-	-
Madeleine	40	63	68	107	105	121	161	161	182
Madelen	-	-	-	-	10	-	11	-	15
Madelene	-	20	18	34	35	37	40	56	74
Madicken	19	14	14	20	22	15	14	16	-
Magda	-	10	10	14	15	12	-	13	10
Magdalena	25	23	21	34	39	41	43	54	51
Maia	17	-	10	-	-	12	10	-	-
Maija	-	-	-	-	11	-	-	-	-
Maj 	10	-	13	-	-	-	-	-	-
Maja	780	824	845	726	650	670	667	674	430
Majken	59	65	41	32	17	22	11	-	-
Malak	12	13	12	11	-	-	-	-	-
Malin	104	121	158	202	191	199	262	326	413
Malou	21	18	11	29	16	12	21	14	-
Malva	107	94	86	70	63	45	31	20	10
Malvina	12	11	-	11	-	-	-	-	-
Manar	-	-	-	-	10	-	-	-	-
Manda	-	-	-	-	13	-	-	-	-
Maria	126	132	148	144	161	158	185	189	227
Mariam	34	39	46	38	20	38	34	29	33
Marie	16	15	17	-	18	15	18	36	39
Marielle	-	-	-	-	-	-	-	20	15
Marika	-	-	-	-	-	-	-	10	24
Marina	10	12	21	17	19	17	23	24	20
Marion	-	-	-	-	-	-	-	-	10
Marta	-	11	13	-	-	-	-	-	10
Martina	32	37	45	48	44	60	59	59	69
Marwa	12	10	11	11	11	-	-	10	-
Mary	-	12	-	-	-	10	-	-	-
Maryam	18	16	13	27	17	14	11	14	12
Maryama	-	-	-	-	-	-	11	-	-
Mathilda	107	158	171	179	205	215	224	215	226
Mathilde	-	-	10	11	12	15	10	-	-
Matilda	394	473	567	537	604	574	585	589	618
Matilde 	-	-	10	-	-	-	-	-	-
Maya	215	192	160	114	116	100	61	48	24
Medina	13	14	16	-	-	12	10	13	-
Meja	187	143	132	89	51	44	24	17	-
Melanie	28	28	17	25	22	22	17	21	20
Melina	63	69	55	67	57	67	48	52	36
Melinda	27	28	42	52	52	57	56	54	46
Melisa	27	17	21	14	18	20	15	21	20
Melissa	97	91	100	84	73	67	69	64	54
Melody	-	12	10	-	-	-	-	-	-
Merve	-	-	-	-	-	-	-	-	12
Meya 	34	19	10	-	-	-	-	-	-
Mia	37	31	25	30	24	19	18	20	25
Micaela	-	-	-	-	-	15	20	16	17
Michaela	32	21	27	41	34	41	51	61	108
Michelle	88	89	92	106	102	111	106	117	140
Mika	17	11	11	-	13	21	-	18	13
Mikaela	44	70	60	69	106	105	117	157	213
Milla	71	67	63	48	42	24	21	12	-
Millie	19	-	-	-	10	-	-	-	-
Milly 	-	-	13	-	-	-	-	-	-
Mimmi	45	35	41	33	41	53	58	59	53
Mina	30	35	25	28	22	28	17	21	15
Minea 	-	12	10	-	-	-	-	-	-
Minna	92	96	87	79	52	64	52	44	42
Minou	13	-	-	-	-	-	-	-	-
Mira	141	135	112	84	56	50	43	28	25
Miranda	152	123	94	139	96	106	83	88	79
Mirella	11	-	-	-	-	-	-	-	-
Miriam	45	20	29	40	32	33	28	45	36
Mirjam	20	20	15	19	16	14	13	15	12
Moa	622	695	711	815	797	689	741	805	780
Mollie	31	21	16	23	14	10	13	15	-
Molly	295	245	203	182	154	137	105	103	84
Mona	18	27	29	23	18	21	38	33	31
Monika	-	-	-	-	-	-	-	-	11
My	127	148	152	147	155	150	178	156	129
Myra 	17	12	11	-	-	-	-	-	-
Märta	98	99	74	70	59	57	37	37	29
Märtha	17	16	11	14	10	-	-	-	-
Nadia	30	27	26	21	21	21	13	24	28
Nadin	-	-	-	-	-	-	-	-	13
Nadine	16	12	21	22	12	15	17	10	11
Nadja	33	28	34	41	47	42	48	56	34
Naemi	11	-	-	-	-	-	-	-	-
Naima	19	16	10	-	10	-	10	12	-
Najma	-	-	-	12	-	-	-	-	-
Nancy	16	14	16	-	-	-	-	11	-
Nanna	-	12	15	10	10	-	-	-	11
Naomi	39	28	23	11	18	12	14	-	12
Narin	-	-	-	-	-	13	-	10	-
Natali	-	12	-	-	-	-	-	12	17
Natalia	22	17	15	14	11	12	10	11	18
Natalie	180	138	138	130	158	127	129	108	129
Natasha	-	20	16	17	13	18	14	19	15
Nathalie	203	202	193	216	241	226	260	214	262
Nea	42	40	52	25	15	11	-	-	-
Nell	13	-	-	-	-	-	-	-	-
Nelli 	16	20	11	-	-	-	-	-	-
Nellie	378	315	271	233	199	142	125	128	132
Nelly	139	127	112	115	102	79	66	61	80
Nemi 	12	10	-	-	-	-	-	-	-
Nicole	135	132	116	145	117	110	133	125	131
Nicolina	-	16	10	20	19	15	21	17	13
Nike	58	30	28	35	26	20	24	13	21
Niki	14	11	13	-	11	10	12	14	-
Nikita	32	15	31	31	25	27	40	23	34
Nikki	25	26	19	14	21	10	-	10	16
Nikolina	10	-	-	-	-	-	-	-	11
Nina	55	67	63	49	54	65	59	64	77
Ninni	11	11	14	-	-	-	-	10	-
Nisa	12	-	-	-	-	-	-	-	-
Noelia 	-	10	-	-	-	-	-	-	-
Noelle	13	11	-	-	-	-	-	-	-
Noomi	26	14	18	14	12	-	-	-	-
Noor	18	-	12	11	12	11	15	16	12
Nor	10	-	-	-	-	-	14	13	-
Nora	316	290	307	262	263	258	247	237	168
Norah	26	35	31	15	-	-	-	-	-
Norea	-	-	-	-	-	11	14	10	-
Nour	15	18	17	14	12	15	-	11	12
Nova	362	308	229	119	90	51	32	-	-
Novalie 	14	14	-	-	-	-	-	-	-
Ofelia	-	-	15	23	14	-	-	12	-
Olga	12	15	13	-	16	14	11	-	-
Olivia	436	458	464	439	407	373	428	393	377
Oliwia	-	-	-	11	-	-	-	-	-
Ophelia	12	-	-	-	-	-	-	-	-
Othilia	-	12	15	13	-	11	-	-	-
Ottilia	22	25	24	21	23	15	18	20	24
Pamela	-	-	-	-	-	10	-	-	13
Patricia	30	33	25	35	50	46	47	63	82
Paula	21	31	31	35	23	28	26	24	26
Paulina	44	27	53	46	67	56	48	82	78
Pauline	22	15	29	14	16	17	20	28	34
Penny 	-	12	-	-	-	-	-	-	-
Perla	12	-	-	-	-	-	-	-	-
Pernilla	-	-	-	-	16	21	18	30	47
Petra	13	18	25	21	21	27	31	34	50
Petronella	-	11	-	13	11	14	23	16	20
Philippa	22	28	20	20	18	20	15	19	-
Pia	-	-	-	-	-	-	-	-	11
Rakel	11	22	-	15	-	11	-	-	-
Rania	-	-	-	-	10	-	11	-	-
Rebecca	123	127	169	159	218	238	212	234	263
Rebecka	128	154	164	162	170	180	205	242	299
Regina	-	-	-	-	14	-	11	12	11
Rim	-	-	-	-	12	-	-	12	10
Rojin	-	14	-	-	-	-	-	-	-
Ronja	180	145	186	172	191	151	175	152	147
Ronya	11	-	-	-	-	-	-	-	-
Rosa	14	-	11	-	-	-	-	-	-
Rosanna	-	-	-	-	10	-	-	11	-
Rut	27	35	18	23	13	-	11	-	-
Ruth	10	10	11	10	15	-	10	-	-
Sabina	37	38	43	48	72	61	63	80	86
Sabrina	12	17	10	17	13	13	20	-	22
Safa	11	-	-	-	-	-	-	-	-
Saga	531	503	536	433	393	288	292	204	170
Sally	29	28	25	12	22	18	18	25	36
Salma	28	34	23	16	27	19	15	14	11
Samantha	14	11	-	19	19	28	14	12	21
Samira	19	21	14	11	17	11	17	21	12
Sana	-	-	-	13	-	-	-	-	-
Sandra	126	144	164	190	208	262	310	351	395
Sandy	-	-	-	-	-	-	-	-	10
