MARIANN 	4 	4 	4 	6 	8 	13 	10 	15 	12 	28
MARIANNE 	18 	23 	35 	40 	33 	46 	68 	63 	75 	94
MARIE 	231 	237 	281 	252 	263 	262 	294 	277 	291 	324
MARIEL 	6 	7 	5 	6 	6 	9 	13 	13 	13 	18
MARIELL 	34 	34 	37 	26 	31 	43 	47 	36 	28 	53
MARIELLE 	29 	18 	19 	26 	30 	17 	24 	12 	23 	27
MARINA 	19 	17 	15 	11 	16 	11 	17 	18 	26 	15
MARION 	20 	21 	42 	26 	23 	26 	19 	23 	26 	12
MARIT 	37 	34 	24 	28 	37 	45 	59 	53 	65 	69
MARITA 	24 	24 	30 	22 	41 	43 	48 	64 	75 	88
MARLEN 	6 	5 	7 	6 	: 	13 	7 	10 	8 	5
MARLENE 	21 	11 	23 	35 	27 	25 	27 	41 	39 	38
MARLIN 	4 	6 	5 	8 	4 	9 	8 	12 	: 	5
MARTA 	13 	8 	21 	11 	16 	14 	18 	17 	21 	19
MARTE 	132 	119 	152 	175 	169 	232 	240 	255 	259 	307
MARTHA 	18 	25 	16 	15 	22 	18 	23 	25 	20 	20
MARTHE 	67 	93 	117 	110 	144 	171 	162 	165 	208 	190
MARTHINE 	: 	11 	12 	10 	15 	13 	9 	18 	17 	11
MARTINA 	5 	: 	5 	7 	8 	10 	6 	5 	4 	8
MARTINE 	193 	196 	226 	254 	256 	368 	302 	302 	299 	332
MARY 	9 	8 	: 	5 	10 	4 	7 	9 	: 	4
MARYAM 	6 	5 	12 	9 	13 	10 	7 	10 	11 	11
MATHEA 	145 	167 	146 	69 	56 	55 	53 	36 	33 	29
MATHILDE 	195 	217 	201 	180 	198 	202 	231 	169 	149 	149
MATILDA 	12 	7 	5 	11 	9 	4 	5 	4 	: 	4
MATILDE 	59 	45 	56 	37 	34 	29 	61 	36 	38 	37
MAUD 	: 	4 	: 	5 	9 	16 	9 	18 	7 	6
MAY 	20 	21 	12 	7 	14 	17 	26 	23 	23 	34
MAYA 	73 	69 	61 	50 	38 	34 	29 	18 	14 	9
MELINA 	20 	14 	8 	8 	9 	9 	5 	5 	7 	:
MELISA 	10 	6 	6 	11 	6 	8 	7 	: 	: 	:
MELISSA 	22 	26 	36 	18 	21 	27 	22 	19 	21 	34
MERETE 	: 	6 	5 	4 	4 	7 	9 	7 	15 	22
MERETHE 	: 	: 	4 	: 	7 	: 	9 	11 	5 	16
METTE 	: 	6 	5 	4 	9 	11 	26 	21 	25 	34
MIA 	248 	282 	298 	257 	233 	199 	231 	175 	132 	104
MICHELLE 	65 	64 	52 	69 	61 	53 	71 	74 	78 	73
MIE 	46 	36 	27 	17 	22 	19 	20 	14 	10 	11
MILLA 	38 	44 	40 	26 	19 	13 	12 	9 	: 	4
MILLE 	84 	81 	88 	58 	53 	30 	31 	12 	8 	8
MINA 	201 	185 	191 	169 	139 	112 	117 	120 	95 	101
MIRA 	37 	26 	21 	24 	24 	20 	5 	12 	10 	16
MIRANDA 	8 	9 	5 	8 	8 	: 	6 	4 	10 	7
