KJELL 	10 	16 	17 	16 	15 	27 	26 	27 	35 	33
KJETIL 	9 	17 	16 	20 	21 	46 	32 	48 	56 	74
KNUT 	58 	59 	53 	54 	62 	63 	91 	79 	99 	88
KONRAD 	26 	19 	24 	19 	16 	10 	21 	12 	8 	4
KORNELIUS 	4 	13 	9 	10 	9 	: 	7 	6 	7 	5
KRISTER 	5 	5 	13 	11 	11 	10 	25 	14 	30 	19
KRISTIAN 	278 	315 	307 	310 	347 	351 	366 	418 	425 	437
KRISTOFFER 	215 	260 	252 	281 	274 	319 	333 	321 	330 	364
KYRRE 	6 	4 	11 	5 	6 	7 	7 	7 	8 	4
LARS 	170 	212 	231 	249 	261 	303 	331 	332 	338 	397
LASSE 	41 	53 	59 	55 	65 	62 	70 	100 	95 	117
LAURITS 	10 	12 	6 	14 	6 	4 	4 	9 	6 	5
LAURITZ 	12 	8 	9 	12 	6 	12 	8 	: 	4 	6
LAVRANS 	10 	10 	16 	9 	4 	: 	4 	5 	8 	4
LEANDER 	107 	75 	58 	39 	26 	27 	23 	21 	18 	6
LEIF 	17 	11 	20 	28 	21 	12 	26 	24 	32 	25
LEO 	94 	95 	74 	52 	33 	39 	23 	15 	12 	9
LEON 	145 	125 	87 	59 	42 	36 	48 	27 	15 	15
LEONARD 	19 	21 	13 	17 	12 	13 	10 	11 	13 	12
LEVI 	10 	9 	12 	9 	6 	9 	8 	8 	5 	6
LIAM 	51 	48 	40 	24 	16 	12 	21 	11 	12 	6
LINUS 	112 	77 	28 	24 	25 	16 	19 	8 	4 	7
LOKE 	18 	19 	13 	12 	10 	6 	15 	5 	: 	:
LOUIS 	6 	6 	5 	12 	: 	5 	5 	5 	6 	:
LUCA 	15 	11 	10 	: 	: 	5 	7 	: 	: 	:
LUCAS 	158 	122 	83 	57 	46 	38 	39 	24 	20 	7
LUDVIG 	68 	53 	47 	45 	41 	41 	44 	37 	31 	21
LUDVIK 	44 	44 	25 	33 	28 	27 	23 	18 	23 	14
LUKA 	11 	5 	8 	6 	5 	5 	4 	: 	: 	:
LUKAS 	227 	178 	135 	87 	65 	58 	52 	21 	22 	14
MADS 	83 	96 	108 	124 	112 	107 	104 	87 	88 	100
MAGNAR 	: 	6 	: 	: 	5 	7 	11 	8 	6 	10
MAGNE 	13 	15 	22 	13 	14 	20 	29 	18 	26 	24
MAGNUS 	368 	433 	410 	429 	456 	458 	451 	407 	460 	461
